time,price,variance
0.000000000000000000e+00,1.000000000000000000e+02,4.000000000000000083e-02
3.968253968253968034e-03,1.006397434445765242e+02,4.710993295861146091e-05
7.936507936507936067e-03,1.006536868223295897e+02,2.203352862453141344e-07
1.190476190476190410e-02,1.006755878223283247e+02,1.457458631043553520e-07
1.587301587301587213e-02,1.006992533758229484e+02,1.678512783888722582e-07
1.984126984126984017e-02,1.007186266767936900e+02,1.606356608303218283e-07
2.380952380952380820e-02,1.007380169769101173e+02,1.369586929011028423e-07
2.777777777777777624e-02,1.007617161973563924e+02,1.642335117951643418e-07
3.174603174603174427e-02,1.007836850561627813e+02,6.289990668102611370e-08
3.571428571428571230e-02,1.008029361178959107e+02,1.936583097283549578e-07
3.968253968253968034e-02,1.008244550964797241e+02,9.736208377962922041e-08
4.365079365079364837e-02,1.008435433331784168e+02,1.136742102550742412e-07
4.761904761904761640e-02,1.008625562423705446e+02,5.756849088798100850e-08
5.158730158730158444e-02,1.008829395691359991e+02,1.827422454756764166e-07
5.555555555555555247e-02,1.008977593255930998e+02,1.157837780939525124e-07
5.952380952380952051e-02,1.009140494583595427e+02,5.832599438772173515e-08
6.349206349206348854e-02,1.009332106358828440e+02,6.498109257698770738e-08
6.746031746031745657e-02,1.009515971393162914e+02,6.849248173500501810e-08
7.142857142857142461e-02,1.009721523019322973e+02,1.428567054641822693e-07
7.539682539682539264e-02,1.009900050322789582e+02,1.649371920196561653e-07
7.936507936507936067e-02,1.010063950986100849e+02,8.126296454970928796e-08
8.333333333333332871e-02,1.010290970121740486e+02,6.076092556102966849e-08
8.730158730158729674e-02,1.010487901844887233e+02,9.329422514561934705e-08
9.126984126984126477e-02,1.010689728377683423e+02,9.155930476164363239e-08
9.523809523809523281e-02,1.010862828930203250e+02,1.379950002801794002e-07
9.920634920634920084e-02,1.011050536707157192e+02,7.225645561214919368e-08
1.031746031746031689e-01,1.011253061134688380e+02,1.604103795474754740e-07
1.071428571428571369e-01,1.011424354502368317e+02,1.290960005288546358e-07
1.111111111111111049e-01,1.011633655925626698e+02,1.113119190879046641e-07
1.150793650793650730e-01,1.011821623648743156e+02,9.950437633116634040e-08
1.190476190476190410e-01,1.012016535696286468e+02,1.464676104072609318e-07
1.230158730158730090e-01,1.012202668878789069e+02,1.819285206138380733e-07
1.269841269841269771e-01,1.012453909567033747e+02,8.722921647776906208e-08
1.309523809523809312e-01,1.012654558739974817e+02,1.361459624623055283e-07
1.349206349206349131e-01,1.012830601241245034e+02,9.047302258751354602e-08
1.388888888888888951e-01,1.013047368109535000e+02,1.696334013299641924e-07
1.428571428571428492e-01,1.013216295123671671e+02,1.031282177290606485e-07
1.468253968253968034e-01,1.013421631779874019e+02,9.628427261428442450e-08
1.507936507936507853e-01,1.013583900742099502e+02,2.042943368482102344e-07
1.547619047619047672e-01,1.013746690640446531e+02,1.266480076357117356e-07
1.587301587301587213e-01,1.013952325379043486e+02,1.756865148955992629e-07
1.626984126984126755e-01,1.014173300603167434e+02,1.999836086287507105e-07
1.666666666666666574e-01,1.014379441988316728e+02,5.716186690580990968e-08
1.706349206349206393e-01,1.014578960433631210e+02,1.292708202824804343e-07
1.746031746031745935e-01,1.014773365008510098e+02,6.906595548596614825e-08
1.785714285714285476e-01,1.014949885457797762e+02,1.436005038189578685e-07
1.825396825396825295e-01,1.015133840206539020e+02,8.001474866669713592e-08
1.865079365079365115e-01,1.015326941483634897e+02,7.299209059627358624e-08
1.904761904761904656e-01,1.015546685934521776e+02,8.881306916746172380e-08
1.944444444444444198e-01,1.015754755527657096e+02,1.044191340606058293e-07
1.984126984126984017e-01,1.015919853739988952e+02,1.134469764429374591e-07
2.023809523809523836e-01,1.016128432071939756e+02,1.242861442382744427e-07
2.063492063492063378e-01,1.016321373051940498e+02,6.076771785152980319e-08
2.103174603174602919e-01,1.016512358626860362e+02,6.748122247818123233e-08
2.142857142857142738e-01,1.016724244322146973e+02,5.857216100213035902e-08
2.182539682539682557e-01,1.016941979628007147e+02,1.787835161588674474e-07
2.222222222222222099e-01,1.017169004317670300e+02,7.553488663361082453e-08
2.261904761904761640e-01,1.017356061741549098e+02,6.019831534113755504e-08
2.301587301587301460e-01,1.017553074979051075e+02,1.619788783062592724e-07
2.341269841269841279e-01,1.017763537798793152e+02,1.987986671036244113e-07
2.380952380952380820e-01,1.017993387488293990e+02,7.465775136808943270e-08
2.420634920634920362e-01,1.018186992499045829e+02,9.121643961164366116e-08
2.460317460317460181e-01,1.018385436381526432e+02,6.667552496364552300e-08
2.500000000000000000e-01,1.018569186829987387e+02,1.739744954223366781e-07
2.539682539682539542e-01,1.018739283790655179e+02,7.021355548459385856e-08
2.579365079365079083e-01,1.018955254242776931e+02,1.565413924100804048e-07
2.619047619047618625e-01,1.019191898461517809e+02,1.670062684651199786e-07
2.658730158730158721e-01,1.019392249064297857e+02,1.668424655309097415e-07
2.698412698412698263e-01,1.019620857153072819e+02,6.872502917258168017e-08
2.738095238095237804e-01,1.019829273340601787e+02,8.155012524932097411e-08
2.777777777777777901e-01,1.020019802733151124e+02,9.747822507203596003e-08
2.817460317460317443e-01,1.020229459077803966e+02,1.224594003917144033e-07
2.857142857142856984e-01,1.020466503620353222e+02,6.420034361450503175e-08
2.896825396825396526e-01,1.020668413441605793e+02,1.165977970112894017e-07
2.936507936507936067e-01,1.020905305711900866e+02,6.855034816483390209e-08
2.976190476190476164e-01,1.021063767227155523e+02,1.091627854643567731e-07
3.015873015873015706e-01,1.021283849411923796e+02,1.192695969562014640e-07
3.055555555555555247e-01,1.021488439383242479e+02,1.057126100586784091e-07
3.095238095238095344e-01,1.021684878596014840e+02,1.335092957298918303e-07
3.134920634920634885e-01,1.021889772012571740e+02,7.407428998985843339e-08
3.174603174603174427e-01,1.022057719086710676e+02,1.001291715512431602e-07
3.214285714285713969e-01,1.022256051974345752e+02,1.489004924648845846e-07
3.253968253968253510e-01,1.022467776037699281e+02,6.270805811730942442e-08
3.293650793650793607e-01,1.022694508786586312e+02,1.180415392901262820e-07
3.333333333333333148e-01,1.022885970567027272e+02,9.493110323052466991e-08
3.373015873015872690e-01,1.023072889805416850e+02,6.223423902512848311e-08
3.412698412698412787e-01,1.023267831857215384e+02,8.570900008134155667e-08
3.452380952380952328e-01,1.023488159577498919e+02,1.811890313271483990e-07
3.492063492063491870e-01,1.023700276502732152e+02,6.014574304656946994e-08
3.531746031746031411e-01,1.023895031768649204e+02,8.534304152871892036e-08
3.571428571428570953e-01,1.024107878748820752e+02,1.268754384837577515e-07
3.611111111111111049e-01,1.024313325864281978e+02,1.741930894816135986e-07
3.650793650793650591e-01,1.024542674263449982e+02,7.031086114078731695e-08
3.690476190476190133e-01,1.024733959606588485e+02,8.615440127247431668e-08
3.730158730158730229e-01,1.024931090275014469e+02,9.616464972879683423e-08
3.769841269841269771e-01,1.025126617377804621e+02,6.306379485682001123e-08
3.809523809523809312e-01,1.025306297487284724e+02,7.068864230996502699e-08
3.849206349206348854e-01,1.025514837400357635e+02,1.704042773228868095e-07
3.888888888888888395e-01,1.025725295497507403e+02,1.314668421419995988e-07
3.928571428571428492e-01,1.025928952167973875e+02,1.450748781818535016e-07
3.968253968253968034e-01,1.026126753731402346e+02,7.439103367515817806e-08
4.007936507936507575e-01,1.026305412221848883e+02,2.115535100853011798e-07
4.047619047619047672e-01,1.026496553192127692e+02,9.182848425661470839e-08
4.087301587301587213e-01,1.026693526350945689e+02,7.281293569070638025e-08
4.126984126984126755e-01,1.026883251432694806e+02,6.421004330100885543e-08
4.166666666666666297e-01,1.027084373935260402e+02,1.255065376215954474e-07
4.206349206349205838e-01,1.027297443725575334e+02,6.820416311474182479e-08
4.246031746031745935e-01,1.027533177105948283e+02,1.832174572474190474e-07
4.285714285714285476e-01,1.027741910471557389e+02,6.638057444331694790e-08
4.325396825396825018e-01,1.027950144496711999e+02,1.777824053187817597e-07
4.365079365079365115e-01,1.028152089706026118e+02,1.158743064307175713e-07
4.404761904761904656e-01,1.028313797353133054e+02,7.002969740337294333e-08
4.444444444444444198e-01,1.028517393371830337e+02,1.709244039426745957e-07
4.484126984126983739e-01,1.028723097849205601e+02,1.496847799603322586e-07
4.523809523809523281e-01,1.028989001759719457e+02,7.627807760975681512e-08
4.563492063492063378e-01,1.029189741950998211e+02,7.643936582439820294e-08
4.603174603174602919e-01,1.029399372623517479e+02,8.396039686093286305e-08
4.642857142857142461e-01,1.029602986268602365e+02,7.881440926595698481e-08
4.682539682539682557e-01,1.029786008895416387e+02,9.500959116218432373e-08
4.722222222222222099e-01,1.030013207598962310e+02,1.442762216066953377e-07
4.761904761904761640e-01,1.030236130986363605e+02,1.248965850577504020e-07
4.801587301587301182e-01,1.030458709564587281e+02,1.619448337308193800e-07
4.841269841269840724e-01,1.030639425744825814e+02,6.213150055251475036e-08
4.880952380952380820e-01,1.030866644206755751e+02,9.018526505904055720e-08
4.920634920634920362e-01,1.031043857961384020e+02,1.152223855871558851e-07
4.960317460317459903e-01,1.031261391177612268e+02,1.058073444350362735e-07
5.000000000000000000e-01,1.031512324034957402e+02,5.965828610556605611e-08
5.039682539682539542e-01,1.031701285370296262e+02,1.698978621375415072e-07
5.079365079365079083e-01,1.031890834827916450e+02,8.992392014985634712e-08
5.119047619047618625e-01,1.032097538059073827e+02,9.971848501880924577e-08
5.158730158730158166e-01,1.032292000614019116e+02,8.709397557243845883e-08
5.198412698412697708e-01,1.032467076425875803e+02,2.180225754700425241e-07
5.238095238095237249e-01,1.032674033467981047e+02,6.458759383667875200e-08
5.277777777777777901e-01,1.032861383473850765e+02,6.058230218916135962e-08
5.317460317460317443e-01,1.033073922396876441e+02,9.229952251232992870e-08
5.357142857142856984e-01,1.033260736051832396e+02,7.856780146835762884e-08
5.396825396825396526e-01,1.033494052057262849e+02,6.119512303326746638e-08
5.436507936507936067e-01,1.033686513742960074e+02,7.758167936786591902e-08
5.476190476190475609e-01,1.033885788053715942e+02,1.701564204689144154e-07
5.515873015873015150e-01,1.034112804317901606e+02,9.106123633482622763e-08
5.555555555555555802e-01,1.034293805024517212e+02,8.760344815466604983e-08
5.595238095238095344e-01,1.034503429518794917e+02,1.114869197908639376e-07
5.634920634920634885e-01,1.034737156732532100e+02,7.501902203884758325e-08
5.674603174603174427e-01,1.034913777961874217e+02,6.044556187103245430e-08
5.714285714285713969e-01,1.035122098194531048e+02,6.099334853171811738e-08
5.753968253968253510e-01,1.035331685794161700e+02,1.074046179503465103e-07
5.793650793650793052e-01,1.035553843229376980e+02,1.824062282934858573e-07
5.833333333333332593e-01,1.035724861676701636e+02,5.745060871443178250e-08
5.873015873015872135e-01,1.035909729232523517e+02,6.687391006499385538e-08
5.912698412698412787e-01,1.036124096806979793e+02,1.786767657377866614e-07
5.952380952380952328e-01,1.036337892363023769e+02,6.133931049349045147e-08
5.992063492063491870e-01,1.036547586147876530e+02,6.467776859872865075e-08
6.031746031746031411e-01,1.036759024918791852e+02,9.801086346478188988e-08
6.071428571428570953e-01,1.036950844628512129e+02,8.931454511806034548e-08
6.111111111111110494e-01,1.037161143983209257e+02,1.155262686946634505e-07
6.150793650793650036e-01,1.037373459622366596e+02,2.031833617098212459e-07
6.190476190476190688e-01,1.037558261544800615e+02,1.269139967977789404e-07
6.230158730158730229e-01,1.037807599605925901e+02,6.960362531680479662e-08
6.269841269841269771e-01,1.038021708304925994e+02,2.238815890194815566e-07
6.309523809523809312e-01,1.038190819796251958e+02,1.272537363726866132e-07
6.349206349206348854e-01,1.038412150671076688e+02,1.156916221420652988e-07
6.388888888888888395e-01,1.038596514764720382e+02,9.569113727972768135e-08
6.428571428571427937e-01,1.038818538595691763e+02,6.137030110098488887e-08
6.468253968253967479e-01,1.039043459975697630e+02,1.247111027479134796e-07
6.507936507936507020e-01,1.039230666270951957e+02,1.246483828624993469e-07
6.547619047619047672e-01,1.039459154134197547e+02,7.493402240741763465e-08
6.587301587301587213e-01,1.039672816717093298e+02,1.072103283407284962e-07
6.626984126984126755e-01,1.039896753519234522e+02,1.507615955979356951e-07
6.666666666666666297e-01,1.040151358418722793e+02,1.072287313088338279e-07
6.706349206349205838e-01,1.040352491794292860e+02,1.736883856000455053e-07
6.746031746031745380e-01,1.040538340562064406e+02,1.634315848965262242e-07
6.785714285714284921e-01,1.040721241273846687e+02,1.007679526946717881e-07
6.825396825396825573e-01,1.040910772709441119e+02,1.123151262265585136e-07
6.865079365079365115e-01,1.041115628224639096e+02,6.169812866870854555e-08
6.904761904761904656e-01,1.041327777810208914e+02,1.217926898486492921e-07
6.944444444444444198e-01,1.041540746198466110e+02,9.053922304951920301e-08
6.984126984126983739e-01,1.041763755165736711e+02,8.488375509071490487e-08
7.023809523809523281e-01,1.041970723296983579e+02,2.201816412575398388e-07
7.063492063492062822e-01,1.042222261763890430e+02,8.179066173411107624e-08
7.103174603174602364e-01,1.042424101969984207e+02,1.628806614772199000e-07
7.142857142857141906e-01,1.042703059101243781e+02,5.884390762211542578e-08
7.182539682539682557e-01,1.042919936128071043e+02,1.712856609311741034e-07
7.222222222222222099e-01,1.043103574277027974e+02,1.130488017879769646e-07
7.261904761904761640e-01,1.043286895620073125e+02,1.918990108307101723e-07
7.301587301587301182e-01,1.043507810299708609e+02,5.676401984232509251e-08
7.341269841269840724e-01,1.043711375484041497e+02,1.001882741839583225e-07
7.380952380952380265e-01,1.043933343382025498e+02,8.885649343327077273e-08
7.420634920634919807e-01,1.044149772022147573e+02,1.984915171095449411e-07
7.460317460317460458e-01,1.044354830106661751e+02,7.390566327042255616e-08
7.500000000000000000e-01,1.044546916049984731e+02,1.544118373817657011e-07
7.539682539682539542e-01,1.044715012137940704e+02,6.281067790179853614e-08
7.579365079365079083e-01,1.044914951242786856e+02,1.556237332181075713e-07
7.619047619047618625e-01,1.045144538477957070e+02,1.595143697275566704e-07
7.658730158730158166e-01,1.045357559432763566e+02,2.104373502639716168e-07
7.698412698412697708e-01,1.045527353371973334e+02,1.044293455876837101e-07
7.738095238095237249e-01,1.045738506302708117e+02,9.235941144984579998e-08
7.777777777777776791e-01,1.045953730096672274e+02,1.990052979340930777e-07
7.817460317460317443e-01,1.046135296684938396e+02,7.179389766380181176e-08
7.857142857142856984e-01,1.046345598612846430e+02,1.070503751293329771e-07
7.896825396825396526e-01,1.046554482818941665e+02,9.732456694720790121e-08
7.936507936507936067e-01,1.046738640945713144e+02,1.089361155412120164e-07
7.976190476190475609e-01,1.046954135755905781e+02,1.152504939161442759e-07
8.015873015873015150e-01,1.047174443499860530e+02,9.298235203911834867e-08
8.055555555555554692e-01,1.047404026702170086e+02,1.693786721612500051e-07
8.095238095238095344e-01,1.047640486864836475e+02,1.618996130407260716e-07
8.134920634920634885e-01,1.047811782656694817e+02,6.528348878702972855e-08
8.174603174603174427e-01,1.048003882932543860e+02,5.971465956904931656e-08
8.214285714285713969e-01,1.048220151232224708e+02,1.198641392247098157e-07
8.253968253968253510e-01,1.048439899907620685e+02,1.400312854375620731e-07
8.293650793650793052e-01,1.048660675910425795e+02,8.370296925707828322e-08
8.333333333333332593e-01,1.048942414406550228e+02,1.139327325787387147e-07
8.373015873015872135e-01,1.049163293849865113e+02,2.149784640490405574e-07
