time,price,variance
0.000000000000000000e+00,1.000000000000000000e+02,5.000000000000000278e-02
3.968253968253968034e-03,1.007754031540290782e+02,5.022389320845065813e-02
7.936507936507936067e-03,1.006520367165392997e+02,5.035899394912141808e-02
1.190476190476190410e-02,1.016516836292596793e+02,5.012578116728753919e-02
1.587301587301587213e-02,1.039343582133795110e+02,4.995873617477143008e-02
1.984126984126984017e-02,1.036676558594345181e+02,5.012986797389384908e-02
2.380952380952380820e-02,1.034010433372857563e+02,5.005942530651295158e-02
2.777777777777777624e-02,1.058052611483698087e+02,5.000207280428866502e-02
3.174603174603174427e-02,1.070330786662518676e+02,5.004251103533340073e-02
3.571428571428571230e-02,1.064046759039503058e+02,4.996229925216165435e-02
3.968253968253968034e-02,1.072987092036044317e+02,4.991699241139955362e-02
4.365079365079364837e-02,1.066787522951188834e+02,4.955486720357880209e-02
4.761904761904761640e-02,1.060615286320007584e+02,4.946488338803388396e-02
5.158730158730158444e-02,1.064992424486151634e+02,4.941941216988351288e-02
5.555555555555555247e-02,1.037592305271872419e+02,4.940435522064253598e-02
5.952380952380952051e-02,1.013570966473204606e+02,4.972542234463665778e-02
6.349206349206348854e-02,1.006329099726237786e+02,4.959202499459386404e-02
6.746031746031745657e-02,9.928547510244015939e+01,4.961122505459734933e-02
7.142857142857142461e-02,9.979686097699114100e+01,4.960660832759100636e-02
7.539682539682539264e-02,9.860530279904047291e+01,4.984699335098469186e-02
7.936507936507936067e-02,9.673639359361837364e+01,4.977202704498808611e-02
8.333333333333332871e-02,9.882152690346615032e+01,4.981150995742306131e-02
8.730158730158729674e-02,9.858006207652036323e+01,4.982937520030160383e-02
9.126984126984126477e-02,9.874555563436028649e+01,4.970577709673042188e-02
9.523809523809523281e-02,9.685981273878047659e+01,4.986319806005122535e-02
9.920634920634920084e-02,9.619090446582373488e+01,4.992627860725330075e-02
1.031746031746031689e-01,9.641132746575175361e+01,4.984559972515573145e-02
1.071428571428571369e-01,9.493227361675805298e+01,4.993565291670936518e-02
1.111111111111111049e-01,9.550512884423322646e+01,4.986249187176165082e-02
1.150793650793650730e-01,9.477055715298057237e+01,4.991911066797353330e-02
1.190476190476190410e-01,9.445097843468830945e+01,5.002066519360281321e-02
1.230158730158730090e-01,9.372182015825991641e+01,5.025648407257499173e-02
1.269841269841269771e-01,9.627568822166770701e+01,4.997329222450001829e-02
1.309523809523809312e-01,9.632744440967896082e+01,5.023448248130439608e-02
1.349206349206349131e-01,9.496862254765844114e+01,5.006953249179876136e-02
1.388888888888888951e-01,9.614603254129134768e+01,4.999275610193404384e-02
1.428571428571428492e-01,9.457566830392916302e+01,5.015052420419294221e-02
1.468253968253968034e-01,9.492374181519794263e+01,5.016952365239314704e-02
1.507936507936507853e-01,9.240217245055188755e+01,5.023101311710680139e-02
1.547619047619047672e-01,9.075155569793848542e+01,5.029840885699141118e-02
1.587301587301587213e-01,9.107047980838066792e+01,5.022299938790300566e-02
1.626984126984126755e-01,9.209179609881273620e+01,5.009793348339929703e-02
1.666666666666666574e-01,9.238174226122588095e+01,5.018920595127310952e-02
1.706349206349206393e-01,9.229817370291904410e+01,5.024024933747843480e-02
1.746031746031745935e-01,9.197343986878436795e+01,5.017582429772048103e-02
1.785714285714285476e-01,9.014000206783893532e+01,5.038937383430340533e-02
1.825396825396825295e-01,8.929197890791066072e+01,5.047635638945772302e-02
1.865079365079365115e-01,8.877622019892835681e+01,5.060669308610345196e-02
1.904761904761904656e-01,9.018162255234399538e+01,5.060665405563726654e-02
1.944444444444444198e-01,9.068766644226711549e+01,5.047816077569364929e-02
1.984126984126984017e-01,8.851706816314406012e+01,5.053236464232460645e-02
2.023809523809523836e-01,8.898884699618361083e+01,5.059895032119773178e-02
2.063492063492063378e-01,8.856889205766911743e+01,5.069875883798272836e-02
