time,price,variance
0.000000000000000000e+00,1.000000000000000000e+02,5.000000000000000278e-02
3.968253968253968034e-03,1.007320955158242555e+02,5.082249197330503121e-02
7.936507936507936067e-03,1.005642602977637381e+02,5.141150180368280614e-02
1.190476190476190410e-02,1.015288409397282123e+02,5.030720501120166527e-02
1.587301587301587213e-02,1.037681384317667295e+02,4.930851792983709236e-02
1.984126984126984017e-02,1.034597437119729761e+02,5.005869347664730629e-02
2.380952380952380820e-02,1.031495754932459477e+02,4.981781586333046408e-02
2.777777777777777624e-02,1.054969647029474515e+02,4.926421575277925569e-02
3.174603174603174427e-02,1.066669581529598361e+02,4.927831757690279146e-02
3.571428571428571230e-02,1.060006702952964446e+02,4.904811998686971208e-02
3.968253968253968034e-02,1.068380650810764223e+02,4.875731700069321772e-02
4.365079365079364837e-02,1.061834579564724521e+02,4.737799385832125454e-02
4.761904761904761640e-02,1.055394963630661636e+02,4.711036290447145197e-02
5.158730158730158444e-02,1.059213580869876665e+02,4.688273091817078686e-02
5.555555555555555247e-02,1.032242770003296215e+02,4.720076817552105314e-02
5.952380952380952051e-02,1.008465584915156228e+02,4.883586036012832476e-02
6.349206349206348854e-02,1.000902707267390781e+02,4.840355399030588091e-02
6.746031746031745657e-02,9.872480553086043642e+01,4.868341935019683542e-02
7.142857142857142461e-02,9.918673244687272472e+01,4.860065789586377055e-02
7.539682539682539264e-02,9.797325819948052583e+01,4.976226142410607178e-02
7.936507936507936067e-02,9.607666178229432319e+01,4.973734980164531971e-02
8.333333333333332871e-02,9.810469903825072890e+01,4.960121263541115294e-02
8.730158730158729674e-02,9.782362582667654749e+01,4.971878589614538851e-02
9.126984126984126477e-02,9.794565802316304826e+01,4.919442710325663132e-02
9.523809523809523281e-02,9.604391085384880000e+01,5.012489578210110180e-02
9.920634920634920084e-02,9.533768507377382662e+01,5.049336496099154220e-02
1.031746031746031689e-01,9.551582528001868866e+01,5.013307717798157204e-02
1.071428571428571369e-01,9.400565612510384028e+01,5.073590608348518827e-02
1.111111111111111049e-01,9.453611770997490282e+01,5.035118497192119652e-02
1.150793650793650730e-01,9.376472156015775283e+01,5.070424403595824581e-02
1.190476190476190410e-01,9.340522626670954764e+01,5.118163286345954466e-02
1.230158730158730090e-01,9.263503582964452221e+01,5.228415974301536817e-02
1.269841269841269771e-01,9.516772223505951445e+01,5.070464171347435767e-02
1.309523809523809312e-01,9.517769303722366203e+01,5.178892595443713304e-02
1.349206349206349131e-01,9.377297164817059638e+01,5.131328562235491081e-02
1.388888888888888951e-01,9.490810833156203330e+01,5.081992388736745331e-02
1.428571428571428492e-01,9.330447048166914215e+01,5.172178987289351160e-02
1.468253968253968034e-01,9.361161653959776174e+01,5.175397084194034714e-02
1.507936507936507853e-01,9.104600326683645051e+01,5.241129703225635983e-02
1.547619047619047672e-01,8.934481696244644411e+01,5.296496322279557051e-02
1.587301587301587213e-01,8.962631489270478369e+01,5.259809788694808780e-02
1.626984126984126755e-01,9.061413664327224637e+01,5.191034466128779945e-02
1.666666666666666574e-01,9.086397622484938097e+01,5.225208833894347954e-02
1.706349206349206393e-01,9.073938338116970215e+01,5.248500336340135991e-02
1.746031746031745935e-01,9.037238368617981621e+01,5.227016610191299179e-02
1.785714285714285476e-01,8.849428575264575159e+01,5.346906989973399665e-02
1.825396825396825295e-01,8.759668967447375110e+01,5.398213017710023348e-02
1.865079365079365115e-01,8.703331538168724535e+01,5.462710810151086976e-02
1.904761904761904656e-01,8.842402415497925006e+01,5.439500860649403025e-02
1.944444444444444198e-01,8.889723312009768108e+01,5.376597652503195546e-02
1.984126984126984017e-01,8.666229375443566596e+01,5.436019108308307035e-02
2.023809523809523836e-01,8.710094658420869962e+01,5.456820246906250033e-02
2.063492063492063378e-01,8.663377055799554682e+01,5.506911999505570421e-02
2.103174603174602919e-01,8.579584042554998291e+01,5.538820732235896077e-02
2.142857142857142738e-01,8.660225376768589456e+01,5.511154220432792905e-02
2.182539682539682557e-01,8.795806303559612616e+01,5.523229194810704706e-02
2.222222222222222099e-01,8.920477757859478629e+01,5.441625425043618292e-02
2.261904761904761640e-01,8.813690206157701823e+01,5.511742181619478514e-02
2.301587301587301460e-01,8.775999666367602003e+01,5.515039574384691945e-02
2.341269841269841279e-01,8.821647691195555296e+01,5.484344999146816002e-02
2.380952380952380820e-01,8.952101308684970604e+01,5.489932107149490120e-02
2.420634920634920362e-01,8.891569898097766611e+01,5.556244109717826951e-02
2.460317460317460181e-01,8.869632831053336020e+01,5.606818468554442686e-02
2.500000000000000000e-01,8.726956421458420721e+01,5.731700235168037810e-02
2.539682539682539542e-01,8.573356503909960225e+01,5.793069366657910280e-02
2.579365079365079083e-01,8.682075781042290430e+01,5.783724359512425889e-02
