mu,kappa,theta,sigma,rho,lambda,mu_j,sig_j
-0.014840422224465874,1.9126561516035978,0.04009523037409939,0.009495682584268493,-0.5608215327450926,6.8335789607192865,-0.09394838717357634,0.01349280870815201
-0.07320894456663629,0.9189610567064374,0.03979327755666499,0.008701999208583359,-0.4950071913562455,0.0018228021301263798,-0.09400994468347663,0.0008678355834522148
-0.02513915934624278,0.3280038900683569,0.04159849822690348,0.008640092753628942,-0.4490854353874281,0.0028679787630680144,-0.0941033699535631,3.290321648923861e-06
0.03344796826552021,1.3968609600059774,0.03928588364883037,0.010099888039281241,-0.4254991520443901,0.003506085145948966,-0.0941031057708997,3.162277660168379e-08
-0.046921302938465234,0.605394040454487,0.03905797118125092,0.008341110185152687,-0.47127891773748964,0.005911532599961232,-0.09410310353023842,3.162277660168379e-08
-0.1393839285707834,0.5804659741760657,0.034511339752369516,0.008725851098750428,-0.3881330161092977,0.0037357700602151656,-0.09410310262743722,3.162277660168379e-08
-0.007430940962302013,1e-06,0.03639332778879876,0.009344131341031485,-0.3887878192107271,0.0024519219463729203,-0.09410310579206765,3.162277660168379e-08
0.04861410370594873,0.9468213687296912,0.03898059394750999,0.01035284030139118,-0.3632448884128005,0.004645744280865846,-0.0941031043617012,3.162277660168379e-08
0.14239445785709148,0.9471657178975303,0.04116052014853661,0.010625367343964421,-0.29195713182629207,0.006025398949300726,-0.0941031020867898,3.162277660168379e-08
-0.06096234595522306,1.5742233258198235,0.04015640166743792,0.008747147795513137,-0.3715217369906695,0.003045762386138428,-0.09410310429500994,3.162277660168379e-08
0.11571218601003519,1.2050200564699807,0.03832002475660225,0.008725516461427153,-0.43908732273164336,0.00786989618549828,-0.09410310750422068,3.162277660168379e-08
0.12230522655446707,1e-06,0.041660258919091434,0.008400475896267674,-0.5094521219387518,0.0045074698747039135,-0.09410310667650283,3.162277660168379e-08
0.09722649646019921,0.5615004627878892,0.03849691948063338,0.010034606166913368,-0.4095540870407158,0.006305280574167865,-0.09410310820543515,3.162277660168379e-08
0.10317758875271554,0.6445438693794474,0.034640962503116025,0.009210437785778024,-0.44868977836534335,0.006029244896927431,-0.09410310694544731,3.162277660168379e-08
0.04513641258226094,1.0910391386755596,0.03686094489922786,0.009276983298543788,-0.453960591066059,0.0032963061251825173,-0.09410310660855195,3.162277660168379e-08
-0.03655710885980616,1.802954481305625,0.036910883160903164,0.008350901351593668,-0.44126816793463375,0.003411136311894514,-0.09410310298653107,3.162277660168379e-08
0.071414103895308,1e-06,0.038636128444327435,0.008212619370060324,-0.46138679918829484,0.002150127095639065,-0.0941031007768335,3.162277660168379e-08
0.02790547075707554,1.5971993898365593,0.037271855642321286,0.00890090653320799,-0.4693635207114847,0.00426975851474718,-0.09410310122894866,3.162277660168379e-08
0.06500105548167867,0.9165327907295903,0.038769016041023785,0.008537462302379452,-0.42804426196850914,0.005126017958548696,-0.09410310176444349,3.162277660168379e-08
0.15661394381518473,0.047030084346350295,0.0803624229444488,0.008610869761304835,-0.4139044541593634,0.004658050837949776,-0.09410310582650983,3.162277660168379e-08
-0.13529516567474406,0.5977478029425789,0.04480224986736399,0.008772676656322264,-0.4024020824024977,0.008120741796789921,-0.09410310621342492,3.162277660168379e-08
0.12997616066369,1e-06,0.042598883819606685,0.008794561945173265,-0.43969328039406486,0.004192137357052788,-0.09410310563956481,3.162277660168379e-08
