mu,kappa,theta,sigma,rho,lambda,mu_j,sig_j
-0.20731152564550817,2.6724983054111546,0.04346972673356819,0.01473580705499337,-0.4621147585749258,2.842092620679538,-0.30824118504949416,0.026037364568377082
-0.709893340476335,1.4141308287233016,0.03826531258986135,0.011076958589737236,-0.25753194142730584,8.303030077078799e-63,-0.3107927033529141,3.162277660168379e-08
-0.27783603875361773,1.6286698504300656,0.03927019210088669,0.011495316016394499,-0.23093767831288506,1.0,-0.3107927000238941,3.162277660168379e-08
-0.15517019382989472,0.31697058522868526,0.042806440420015,0.010828697189029615,-0.18852021615906261,8.557425026559091e-144,-0.31079269997764075,3.162277660168379e-08
-0.7538728571744024,0.8836482149627003,0.04222390706751039,0.011390444036162375,-0.1658818507086201,1.0,-0.31079269709712576,3.162277660168379e-08
-0.668762241299381,1.9092296087298426,0.041289683888348964,0.011650442632475302,-0.12108358475152176,1.5254701497966826e-142,-0.31079269956623856,3.162277660168379e-08
-0.1403390240182606,0.28922371244289735,0.05902110201603603,0.010261390393265292,-0.18712979393766216,0.9999999999999998,-0.3107926922763344,3.162277660168379e-08
-0.2444805032926192,1.3457291659339046,0.049271138491953304,0.011037115395116736,-0.1160620091444691,4.7804346186650324e-116,-0.31079269534325255,3.162277660168379e-08
-0.28481566462387575,0.38543457185184304,0.05606283458451048,0.010730514747635742,-0.08992535858356517,1.0,-0.3107926948039257,3.162277660168379e-08
-0.6691615694390849,1.1703503304071927,0.05621308799622666,0.010911954996264519,-0.07041350028161508,6.613970107935144e-112,-0.3107926988978915,3.162277660168379e-08
-0.5472217366019464,2.3121143794270127,0.054862912368037774,0.010321369110991444,-0.20728011713087013,0.9999999999999999,-0.31079271004675246,3.162277660168379e-08
-0.37234461165929533,2.710228295561869,0.053377107388215494,0.010266388162152189,-0.20324156686468683,2.0595814147941197e-104,-0.31079270878094434,3.162277660168379e-08
-0.253852872008541,1.2149098988257891,0.057010722021198876,0.010109855946411074,-0.22906943196665358,1.0,-0.31079271079966786,3.162277660168379e-08
-0.6077770077063527,0.29998566028876905,0.058306204031125054,0.011105281235162431,-0.1665590271030974,1.6584083533377286e-102,-0.3107927106644059,3.162277660168379e-08
-0.0007644087726205173,0.9208228365143185,0.047986099521591885,0.011355241325412616,-0.210862231224623,0.9999999999999999,-0.3107927015283966,3.162277660168379e-08
-0.0494596268111287,1e-06,0.0611121025838367,0.010542678182021712,-0.18298580756067329,1.3761736760315644e-105,-0.31079270576249546,3.162277660168379e-08
-0.5007151245144884,0.8533103316365765,0.0546756742642922,0.01084463242485911,-0.2444555115577614,1.0,-0.31079270918605795,3.162277660168379e-08
-0.3483481962036442,1e-06,0.05047383816365845,0.011507916100172048,-0.13654943771320724,4.376461529863034e-109,-0.31079271080287607,3.162277660168379e-08
-0.6881511572911804,1e-06,0.04783013554344085,0.011202945090721861,-0.2528981523150829,1.0000000000000002,-0.31079271186251517,3.162277660168379e-08
-0.40693886691025516,0.89965259111861,0.05042820609714987,0.011553145661545795,-0.23273173006351208,1.4244559970332302e-110,-0.31079270959198674,3.162277660168379e-08
-0.3017182158511086,0.032622852087302756,1e-06,0.010495889892249803,-0.269777576049075,1.0,-0.3107927118028773,3.162277660168379e-08
-0.6733832034105316,0.3756852124451969,0.04622935943138831,0.011544539656229544,-0.24002500934657114,3.655310037979504e-115,-0.3107927108866476,3.162277660168379e-08
-0.591682154305345,1.3243167631173889,0.0491135132484368,0.012905270853574635,-0.19095104109711794,1.0,-0.31079270811826176,3.162277660168379e-08
-0.4933616514725306,1.2613889070766773,0.0459364321602306,0.011041126848921301,-0.060537605359579943,2.9705613754077385e-115,-0.3107927088675973,3.162277660168379e-08
-0.3374587596126515,1.6751940424814107,0.0445088729747373,0.01111133652098143,-0.1265267186363474,1.0,-0.3107927012207718,3.162277660168379e-08
-0.2579289395288302,1e-06,0.050102338734024233,0.01065669741132466,-0.15250392691123116,4.043068766992403e-120,-0.310792696430775,3.162277660168379e-08
-0.5434741183790752,1e-06,0.051201288329075154,0.013490805484177916,-0.10407855249819783,0.9999999999999999,-0.3107926994525366,3.162277660168379e-08
-0.24744018641962454,3.6945274002213018,0.04763939568301311,0.020740873769432826,0.009620036261782716,1.0908265090392438e-113,-0.3107927023443727,3.162277660168379e-08
-0.41114218345955006,1e-06,0.04688285187072013,0.013220662425203426,-0.09983785334962018,1.0,-0.3107927029803367,3.162277660168379e-08
-0.3630078948403225,1.648254133259284,0.051142041173182565,0.014094196305436485,-0.14728898695845105,1.255917310755934e-114,-0.31079270296300826,3.162277660168379e-08
-0.6365607393920185,1.1387932440991941,0.05066196541284859,0.010957397153991034,-0.18632468825604276,1.0,-0.3107927009842674,3.162277660168379e-08
-0.2473071983238975,2.0150663613191937,0.04914608688667794,0.010362449732317725,-0.22482436151554477,2.1781703407634027e-111,-0.3107927013022376,3.162277660168379e-08
-0.19729250806219656,2.274041418536859,0.05074316933029003,0.010857975807525145,-0.244804653898776,1.0,-0.3107927117401565,3.162277660168379e-08
