mu,kappa,theta,sigma,rho,lambda,mu_j,sig_j
-1.1219960605399204,1.6144936566320922,0.04660705931015702,0.020504942005271972,-0.4626957627354651,14.525094136152617,-0.3300167872539885,0.11296362897083936
-1.1318132142511876,4.793282576413036,0.03959876436190511,0.019695445881624148,-0.12113313302239995,1.037763256350389,-0.20810300287165048,0.01234302180836308
-1.337459615949364,3.3841583222644593,0.03942452492362189,0.01545492998787674,-0.11129330084111519,10.0,-0.21451447173811794,0.01218402419026329
-1.2885656949045408,2.4147629479462402,0.03848464108080564,0.012673104751328847,-0.10224383756613796,5.000159484872352,-0.2112724605340542,0.014756389500436002
-1.0332519925389065,1.2641219182436656,0.037759248053104565,0.01115969981502798,-0.06440751013796565,10.0,-0.21461752311426077,0.009751090773936197
-1.0714948281110726,0.9604419501931615,0.03968283843000419,0.009961589378049675,-0.04411272277782893,7.000000000748661,-0.20682854815051718,0.005654854628942068
-1.2260711542069684,1e-06,0.04207938667984916,0.009851005982992496,-0.04950330311367936,8.0,-0.20802511759478626,0.0036528061392292572
-1.2346154113964731,1.2130573999861363,0.042208446710989965,0.009464794425745385,-0.041037898568205805,6.947416797553245,-0.20833758356610602,0.0024837888323075933
-0.9398768462113082,1e-06,0.0453123501500644,0.009699689425704566,-0.03424032997437432,8.999994476676907,-0.20849105416222652,0.0026593942204585427
-1.139915996994832,0.2996624902243381,0.03074813111530214,0.009595371835976139,-0.03704853586866111,9.78243047894487,-0.20874245559534507,0.0020644470139804215
